"miss.val.dis" "miss.val.nor"
"1" 0 0
"2" 0 0
"3" 2 2
"4" 8 8
"5" 0 0
"6" 7 7
"7" 4 4
"8" 0 0
"9" 2 2
"10" 1 1
"11" 8 8
"12" 0 0
"13" 0 0
"14" 7 7
"15" 0 0
"16" 0 0
"17" 0 0
"18" 2 2
"19" 3 3
"20" 0 0
"21" 2 2
"22" 0 0
"23" 0 0
"24" 0 0
"25" 2 2
"26" 0 0
"27" 0 0
"28" 3 3
"30" 3 3
"31" 0 0
"32" 0 0
"33" 0 0
"34" 0 0
"35" 0 0
"36" 0 0
"37" 0 0
"38" 2 2
"39" 0 0
"40" 5 5
"41" 2 2
"42" 0 0
"43" 3 3
"44" 1 1
"45" 7 7
"46" 1 1
"47" 7 7
"48" 0 0
"49" 1 1
"51" 2 2
"52" 5 5
"54" 0 0
"55" 1 1
"56" 5 5
"57" 0 0
"58" 9 9
"59" 5 5
"60" 0 0
"61" 2 2
"62" 0 0
"63" 0 0
"64" 0 0
"65" 8 8
"66" 0 0
"67" 1 1
"68" 0 0
"69" 0 0
"70" 3 3
"71" 0 0
"72" 8 8
"73" 3 3
"74" 0 0
"75" 8 8
"76" 2 2
"77" 2 2
"78" 2 2
"79" 2 2
"80" 9 9
"81" 1 1
"82" 4 4
"83" 0 0
"84" 8 8
"85" 1 1
"86" 3 3
"87" 0 0
"88" 0 0
"89" 0 0
"91" 9 9
"92" 0 0
"93" 1 1
"94" 7 7
"95" 1 1
"96" 2 2
"97" 1 1
"98" 0 0
"99" 0 0
"100" 1 1
"101" 0 0
"102" 0 0
"103" 1 1
"104" 3 3
"105" 3 3
"106" 0 0
"107" 1 1
"108" 0 0
"109" 0 0
"110" 3 3
"111" 1 1
"112" 0 0
"113" 0 0
"114" 0 0
"115" 0 0
"116" 1 1
"117" 0 0
"118" 2 2
"119" 7 7
"120" 6 6
"121" 2 2
"122" 0 0
"123" 0 0
"124" 2 2
"125" 9 9
"126" 0 0
"127" 0 0
"128" 3 3
"129" 0 0
"130" 2 2
"131" 6 6
"132" 2 2
"133" 1 1
"134" 5 5
"135" 0 0
"136" 1 1
"137" 7 7
"138" 3 3
"139" 0 0
"140" 1 1
"141" 1 1
"142" 0 0
"143" 3 3
"144" 4 4
"145" 1 1
"146" 9 9
"147" 0 0
"148" 3 3
"149" 3 3
"151" 0 0
"152" 1 1
"153" 0 0
"154" 0 0
"155" 0 0
"156" 6 6
"157" 1 1
"158" 7 7
"160" 1 1
"161" 1 1
"162" 0 0
"163" 1 1
"164" 1 1
"165" 1 1
"166" 1 1
"167" 0 0
"168" 8 8
"169" 1 1
"170" 3 3
"171" 6 6
"172" 2 2
"173" 0 0
"174" 6 6
"175" 4 4
"176" 0 0
"177" 0 0
"178" 0 0
"179" 4 4
"180" 2 2
"182" 1 1
"183" 3 3
"184" 0 0
"185" 0 0
"186" 0 0
"187" 6 6
"188" 3 3
"189" 2 2
"190" 0 0
"191" 4 4
